California,27112595
Texas,18297900
Florida,16144302
New York,11879057
Pennsylvania,9098570
Illinois,8364843
Ohio,8283546
Michigan,7982471
North Carolina,7765109
Georgia,7663847
New Jersey,6461950
Virginia,5912644
Washington,5868509
Arizona,5795216
Tennessee,5009697
Massachusetts,4899931
Indiana,4636114
Maryland,4439757
Colorado,4411587
Wisconsin,4340851
Missouri,4275228
Minnesota,4143272
Alabama,4061837
South Carolina,3990909
Louisiana,3437733
Oregon,3029912
Kentucky,2980331
Connecticut,2606396
Oklahoma,2597441
Iowa,2345355
Arkansas,2306921
Utah,2207208
Nevada,2150707
Kansas,2089707
Mississippi,2032775
New Mexico,1477213
Nebraska,1438842
Idaho,1343453
New Hampshire,1174826
West Virginia,1138290
Maine,1056535
Montana,856696
Delaware,848504
Rhode Island,754507
South Dakota,671149
North Dakota,549721
District of Columbia,510985
Vermont,469624
Wyoming,430472